Date Time Milliseconds
2025/1/13 9:49:42 209255
2025/1/13 9:49:42 209389
2025/1/13 9:49:42 209523
2025/1/13 9:49:42 209616
2025/1/13 9:49:42 209750
2025/1/13 9:49:42 209924
2025/1/13 9:49:43 210139
2025/1/13 9:49:45 Stopped
2025/1/13 9:49:47 Stopped
2025/1/13 9:49:48 215816
2025/1/13 9:49:49 216150
2025/1/13 9:49:49 216404
2025/1/13 9:49:49 216659
2025/1/13 9:49:50 217598
2025/1/13 9:49:51 218095
2025/1/13 9:49:51 218389
2025/1/13 9:49:51 218643
2025/1/13 9:49:51 218858
2025/1/13 9:49:52 219072
2025/1/13 9:49:52 219287
2025/1/13 9:49:52 219502
2025/1/13 9:49:52 219797
2025/1/13 9:49:53 220171
2025/1/13 9:49:53 220546
2025/1/13 9:49:53 220961
2025/1/13 9:49:54 221456
2025/1/13 9:49:55 222193
2025/1/13 9:49:56 223291
2025/1/13 9:49:56 223990
2025/1/13 9:49:59 Stopped
2025/1/13 9:50:1 Stopped
2025/1/13 9:50:2 229877
2025/1/13 9:50:3 230382
2025/1/13 9:50:3 230716
2025/1/13 9:50:4 231131
2025/1/13 9:50:4 231990
2025/1/13 9:50:5 232806
2025/1/13 9:50:6 233463
2025/1/13 9:50:7 234604
2025/1/13 9:50:8 235381
2025/1/13 9:50:8 235916
2025/1/13 9:50:9 236452
2025/1/13 9:50:10 237067
2025/1/13 9:50:10 237925
2025/1/13 9:50:11 238500
2025/1/13 9:50:11 238956
2025/1/13 9:50:12 239414
2025/1/13 9:50:12 239869
2025/1/13 9:50:13 240324
2025/1/13 9:50:13 240900
2025/1/13 9:50:15 Stopped
2025/1/13 9:50:17 Stopped
2025/1/13 9:50:18 245175
2025/1/13 9:50:18 245629
2025/1/13 9:50:18 245803
2025/1/13 9:50:18 245937
2025/1/13 9:50:19 246271
2025/1/13 9:50:19 246366
2025/1/13 9:50:19 246460
2025/1/13 9:50:19 246553
2025/1/13 9:50:19 246647
2025/1/13 9:50:19 246860
2025/1/13 9:50:19 246954
2025/1/13 9:50:20 247168
2025/1/13 9:50:20 247302
2025/1/13 9:50:20 247436
2025/1/13 9:50:20 247572
2025/1/13 9:50:20 247746
2025/1/13 9:50:20 247962
2025/1/13 9:50:21 248175
2025/1/13 9:50:21 248349
2025/1/13 9:50:21 248483
2025/1/13 9:50:21 248657
2025/1/13 9:50:21 248790
2025/1/13 9:50:21 248964
2025/1/13 9:50:22 249098
2025/1/13 9:50:22 249274
2025/1/13 9:50:22 249409
2025/1/13 9:50:22 249582
2025/1/13 9:50:22 249716
