Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/13 11:28:45 27.07 310.00 0
2025/1/13 11:28:45 27.15 313.00 0
2025/1/13 11:28:45 27.07 318.00 0
2025/1/13 11:28:46 27.09 316.00 0
2025/1/13 11:28:46 27.09 317.00 0
2025/1/13 11:28:46 27.07 318.00 0
2025/1/13 11:28:46 27.11 317.00 0
2025/1/13 11:28:47 27.07 306.00 0
2025/1/13 11:28:47 27.01 305.00 0
2025/1/13 11:28:47 27.13 305.00 0
2025/1/13 11:28:47 27.11 316.00 0
2025/1/13 11:28:48 27.13 310.00 0
2025/1/13 11:28:48 27.09 315.00 0
2025/1/13 11:28:48 27.09 307.00 0
2025/1/13 11:28:48 27.09 316.00 0
2025/1/13 11:28:49 27.15 308.00 0
2025/1/13 11:28:49 27.09 316.00 0
2025/1/13 11:28:49 27.13 306.00 0
2025/1/13 11:28:49 27.13 317.00 0
2025/1/13 11:28:49 27.09 307.00 0
2025/1/13 11:28:50 27.03 315.00 0
2025/1/13 11:28:50 27.17 314.00 0
2025/1/13 11:28:50 27.07 313.00 0
2025/1/13 11:28:50 27.11 318.00 0
2025/1/13 11:28:51 27.07 310.00 0
2025/1/13 11:28:51 27.09 315.00 0
2025/1/13 11:28:51 27.13 310.00 0
2025/1/13 11:28:51 27.13 304.00 0
2025/1/13 11:28:52 27.09 317.00 0
2025/1/13 11:28:52 27.03 310.00 0
2025/1/13 11:28:52 27.11 304.00 0
2025/1/13 11:28:52 27.07 317.00 0
2025/1/13 11:28:53 27.03 311.00 0
2025/1/13 11:28:53 27.09 310.00 0
2025/1/13 11:28:53 27.09 310.00 0
2025/1/13 11:28:53 27.07 307.00 0
2025/1/13 11:28:53 27.09 308.00 0
2025/1/13 11:28:54 27.09 305.00 0
2025/1/13 11:28:54 27.07 317.00 0
2025/1/13 11:28:54 27.07 317.00 0
2025/1/13 11:28:54 27.09 316.00 0
2025/1/13 11:28:55 27.07 317.00 0
2025/1/13 11:28:55 27.07 314.00 0
2025/1/13 11:28:55 27.07 316.00 0
2025/1/13 11:28:55 27.09 304.00 0
2025/1/13 11:28:56 27.07 312.00 0
2025/1/13 11:28:56 27.11 314.00 0
2025/1/13 11:28:56 27.03 311.00 0
2025/1/13 11:28:56 27.13 304.00 0
2025/1/13 11:28:57 27.17 304.00 0
2025/1/13 11:28:57 27.13 304.00 0
2025/1/13 11:28:57 27.15 304.00 0
2025/1/13 11:28:57 27.17 310.00 0
2025/1/13 11:28:57 27.05 311.00 0
2025/1/13 11:28:58 27.15 304.00 0
2025/1/13 11:28:58 27.15 317.00 0
2025/1/13 11:28:58 27.15 310.00 0
2025/1/13 11:28:58 27.13 308.00 0
2025/1/13 11:28:59 27.05 305.00 0
2025/1/13 11:28:59 27.15 317.00 0
2025/1/13 11:28:59 27.09 305.00 0
2025/1/13 11:28:59 27.07 305.00 0
2025/1/13 11:29:0 27.05 304.00 0
2025/1/13 11:29:0 27.11 304.00 0
2025/1/13 11:29:0 27.07 316.00 0
2025/1/13 11:29:0 27.15 315.00 0
2025/1/13 11:29:1 27.09 315.00 0
2025/1/13 11:29:1 27.05 309.00 0
2025/1/13 11:29:1 27.03 315.00 0
2025/1/13 11:29:1 27.05 304.00 0
2025/1/13 11:29:1 27.15 304.00 0
2025/1/13 11:29:2 27.15 314.00 0
2025/1/13 11:29:2 27.15 314.00 0
2025/1/13 11:29:2 27.05 315.00 0
2025/1/13 11:29:2 27.09 308.00 0
2025/1/13 11:29:3 27.11 310.00 0
2025/1/13 11:29:3 27.19 304.00 0
2025/1/13 11:29:3 27.13 304.00 0
2025/1/13 11:29:3 27.13 315.00 0
2025/1/13 11:29:4 27.13 304.00 0
2025/1/13 11:29:4 27.05 304.00 0
2025/1/13 11:29:4 27.13 314.00 0
2025/1/13 11:29:4 27.05 304.00 0
2025/1/13 11:29:5 27.11 303.00 0
2025/1/13 11:29:5 27.11 314.00 0
2025/1/13 11:29:5 27.07 312.00 0
2025/1/13 11:29:5 27.07 314.00 0
2025/1/13 11:29:5 27.15 315.00 0
2025/1/13 11:29:6 27.07 311.00 0
2025/1/13 11:29:6 27.11 303.00 0
2025/1/13 11:29:6 27.13 310.00 0
2025/1/13 11:29:6 27.09 313.00 0
2025/1/13 11:29:7 27.07 314.00 0
2025/1/13 11:29:7 27.17 304.00 0
2025/1/13 11:29:7 27.13 313.00 0
2025/1/13 11:29:7 27.05 304.00 0
2025/1/13 11:29:8 27.19 314.00 0
2025/1/13 11:29:8 27.09 314.00 0
2025/1/13 11:29:8 27.03 304.00 0
2025/1/13 11:29:8 27.15 304.00 0
2025/1/13 11:29:9 27.17 305.00 0
2025/1/13 11:29:9 27.13 307.00 0
2025/1/13 11:29:9 27.15 305.00 0
2025/1/13 11:29:9 27.05 316.00 0
2025/1/13 11:29:9 27.15 306.00 0
2025/1/13 11:29:10 27.13 304.00 0
2025/1/13 11:29:10 27.09 307.00 0
2025/1/13 11:29:10 27.15 315.00 0
2025/1/13 11:29:10 27.13 309.00 0
2025/1/13 11:29:11 27.17 308.00 0
2025/1/13 11:29:11 27.17 310.00 0
2025/1/13 11:29:11 27.15 315.00 0
2025/1/13 11:29:11 27.13 311.00 0
2025/1/13 11:29:12 27.15 304.00 0
2025/1/13 11:29:12 27.07 313.00 0
2025/1/13 11:29:12 27.09 305.00 0
2025/1/13 11:29:12 27.15 313.00 0
2025/1/13 11:29:13 27.09 312.00 0
2025/1/13 11:29:13 27.13 304.00 0
2025/1/13 11:29:13 27.15 313.00 0
2025/1/13 11:29:13 27.15 312.00 0
2025/1/13 11:29:14 27.17 304.00 0
